Job Position,Job Description,Date Created,Pooling Status,Job ID,Last Modified
Marketing Strategic Officer Kompasiana,"Developing Package & Brand Communications.
Tracking and measuring brand campaign.
Designing market research to identify new oppurtunities.
Evaluate Inventory Asset.
Creating specific marketing plan for brands or advertiser.
Coordinating with internal business team related to on going projects.
Graduated in Mathematic, Statistic, Economic, and Management.
Experienced as marketing planner or marketing strategist or strategic planner for minimum 1 year and maximum 3 years.
Expertise in Microsoft Office tools.
Capable with Numeric data & Analysis.
Honest, Accurate, focus & Details.
Excellent communication, interpersonal and presentation skills.",2026-04-28 10:50:38,,266129.0,
Ad Ops Officer,"Key Responsibilities 
1. Handle media campaign (kompas.com & network)
2. Trafficking creative assets, setting up campaigns, and implementing tracking tags within ad servers.
3. Monitoring performance metrics (Impressons, CTR, VR, etc) to optimize delivery
4. Quality Control (QC): Ensuring creative assets adhere to technical specifications and industry standards.
5. Troubleshooting: Identifying and resolving issues regarding delivery, tracking, or creative performance.
6. Reporting: Analyzing and reporting on campaign performance to stakeholders. 

Required Skills and Qualifications
1. Technical Proficiency: PHP, HTML/CSS, Javascript. Experience with ad servers (Google Ad Manager/DFP), Demand-Side Platforms (DSPs), and tag management systems.
2. Analytical Skills: Ability to analyze large data sets to improve campaign performance.
3. Communication: Strong coordination skills to work with account managers, clients, and technical teams.",2026-04-29 09:49:43,,266576.0,
Video Analyst,"Tanggung Jawab:
- Memantau video yang viral dan potensi berkembang di platform Youtube, TikTok dan Instagram untuk memastikan relevansi konten IP Video Kompas.com dengan minat audience.
- Melakukan analisis kompetitor secara mendalam untuk mengidentifikasi content gap dan peluang strategis yang dapat dieksplorasi untuk mengembangkan IP Video Kompas.com
- Mengtransformasi data mentah menjadi laporan bulanan yang komprehensif dan mudah dipahami serta memberikan rekomendasi pengembangan konten yang dapat diimplementasikan
- Memberikan analisa berbasis data terkait optimalisasi video untuk meningkatkan performance
Required skills:
- Background pendidikan terbuka dari semua jurusan, selama memiliki pengalaman yang terkait dengan analisa konten video youtube.
- Berpengalaman dalam mengolah data dan menyusun laporan data.
- Memahami dasar-dasar pengukuran performa video seperti average view duration, audience retention, reach, dll.
- Mampu bekerja mandiri dengan inisiatif tinggi serta dapat bekerja dalam tim lintas departemen.
- Berpengalaman menggunakan tools berikut: tubular labs, YouTube analytics, dan tools lainnya yang berkaitan dengan pengukuran performa video youtube dan social media.
- Memahami tren konten video di semua platform video
- Terbiasa bekerja mengolah data angka.",2026-04-30 04:35:48,,266348.0,
Sales Group Head (VCBL),"Requirements
• Minimum 2 years in a supervisory or team lead role.
• Must have experience in programmatic advertising
• Must have experience ad networks
• Must have experience in digital media selling, and media publisher operations.
• Bachelor’s degree in Business, Marketing, or a related field.
• Minimum 4–5 years of experience in sales.
• Strong leadership, clear communication, and solid negotiation skills.
• Experience managing key clients and driving revenue growth.
• Proven ability to work with targets and make decisions quickly.
• Proficiency using digital workspace tools.
• Strong understanding of sales strategies, market trends, and customer management.
• Experience handling digital campaigns and working with brand teams, advertisers, or media planners.
• Candidates from media companies score higher because the workflow, KPIs, and ecosystem match this role.
• Experience in  agencies, general sales, retail, activation agency, event organizer, or non digital fields is not relevant.

Role Expectations
• Lead and guide the sales team.
• Maintain high value clients and grow accounts.
• Manage programmatic and direct deals.
• Build long term relationships with advertisers.
• Understand ad inventory, pricing, performance metrics, and monetization strategies.
• Drive revenue based on media products and ad placements.",2025-11-26 06:04:06,Pooled,,
Account Executive KOMPAS.com,"Job Description
Making long term relationship with client
Seeking & approaching new clients
Identifying and deciding client needs
Planning and doing strategic digital sales implementation based on brief from client
Always update about the growth of digital media technology
Closing sales to achieve revenue target
Minimum Qualifications
Minimum Bachelor Degree from any major
At least 2 years experience as sales executive from digital media and/or media online is a plus
Canvassing new clients
Proficient in English
Able to make and execute a sales marketing program
Excellent communication, negotiation, and presentation skill
Have good networking skill
Able to work under sales target",2025-11-17 06:42:33,Pooled,,
Account Executive Kompasiana,"Minimum Bachelor Degree from any major
At least 2 years experienced as sales executive from digital agency and/or broadcast company is a plus (acquiring new clients, not only maintaining)
Proficient in English
Able to make and execute a sales/marketing program
Excellent communication, negotiation, and presentation skill
Having the capability to build good networking",2025-11-21 12:16:28,Pooled,,
Data Reliability Admin,"Job Description
Monitor data ingestion from multiple sources to ensure completeness & accuracy
Identify and log data-related issues, escalating critical issues to relevant teams when
necessary
Use monitoring dashboards or tools to track system performance and data health
Collaborate with technical teams to report and assist in resolving system or data flow
interruptions
Ensure scheduled updates for content across all monitored media types are accurate
and on time
Work closely with Product, Data, and Media Intelligence teams to ensure data
requirements are met
Provide periodic reports on data reliability, completeness, and quality to stakeholders

Minimum Qualifications
Bachelor’s degree in Information Systems, Computer Science, Statistics, Communications, or a related field.
Basic skills in Python and SQL/query writing.
Strong interest in news and media, both mainstream and social media platforms.
Understanding of social media username concepts and user behavior.
Basic understanding of media monitoring and news trend analysis.
Detail-oriented, analytical, and comfortable handling large datasets.
Able to work independently or collaboratively in a fast-paced environment.
Experience in data collection and data cleaning; experience handling text-based data (news or social media) is a plus.
High attention to detail, strong problem-solving skills, and a strong willingness to be on standby when needed (mandatory).
Familiarity and knowledge of Api, Python, and data crawling/scraping are strong advantages.
Strong proficiency in Google Sheets, including formulas such as vlookup, regexmatch, and Remove Duplicates.",2025-11-21 12:22:18,Pooled,,
Video Creator (AI Production),"Requirements
•⁠  ⁠Min. Bachelor in Broadcasting, Film or Video Production
•⁠  ⁠Passionate in AI Gen Images, Video, Music/Voice production
•⁠  ⁠Expert in Adobe Editing Suite (Premiere, After Effect)
•⁠  ⁠Deep familiarity with color grading
•⁠  ⁠Able to work well under tight deadline
•⁠  ⁠Deep passion for video editing and willingness to learn new video editing technology.
•⁠  ⁠Strong interest and passion in cinema and internet videos

Job Description
•⁠  ⁠Produce video content using fully AI Generated
•⁠  ⁠Work collaboratively with Data Team, Product Team, Social Media Team to create a high quality content
•⁠  ⁠Analize content performance in each channel",2025-11-22 13:09:38,Pooled,,
iOS Engineer,"Minimum Qualifications
- Experience in iOS development 1-3 year.
- Skill in Swift 5.
- Skill in UIKit, ProgramaticUI, or SwiftUI.
- Skill in MVVM.
- Skill in GitLab.
- Skill in Alamofire and networking.
- Skill in UserDefaults, CoreData, and Combine.
- Skill in integrating third party SDK.
- Experience in payment gateway integration.
- Experience in StoreKit for in app purchases.
- Experience in Android development with Kotlin will be an advantage.
- Skill in debugging and troubleshooting.
- Skill in communication and teamwork.
- Ability to work with tight deadlines.
- Interest in learning new iOS updates.",2025-12-10 08:41:39,Pooled,,
Data Scanner,"Job Description
Scan and review digital and print media from home to collect relevant news content efficiently.
Upload scanned materials to the designated web dashboard and ensure proper categorization.
Crop and adjust articles for accuracy, clarity, and alignment with content standards before submission.
Maintain an organized workflow to ensure timely delivery of scanned and processed media.

Minimum Qualifications
No minimum educational background required; candidates from all academic levels are welcome.
Must be willing and able to work early morning shifts starting at 4:00 AM.
Open to applicants of all age groups who are responsible, reliable, and committed to accuracy in work",2025-12-01 02:16:19,Pooled,,
Product Designer,"Job Description
Gather and evaluate user requirements in collaboration with product managers and engineers
Illustrate design ideas using storyboards, process flows and sitemaps
Design graphic user interface elements, like menus, tabs, widgets, etc
Develop UI mockups and prototypes that clearly illustrate how the visual, interactions, and paths look like
Create original graphic designs (e.g. images, sketches and tables)
Prepare and present drafts to internal teams and key stakeholders
Identify and troubleshoot UX problems (e.g. responsiveness)
Conduct usability testing and product/feature adjustments based on user feedback
Minimum Qualifications
1-2 years work experience as a Product/UX Designer or similar role
Knowledgeable in using genAI tools (e.g. chatGPT, midjourney, etc.) or video editing tools (e.g. canva, CapCut, Adoble After Effects) is a MUST
Mastery of human-centered design
Mastery of interaction design skills and attention to detail
Excellent with logical and data approach to communicate design details
Experience using Figma and design software like Adobe Illustrator and Photoshop
Experience developing dashboard-type products
Team spirit; strong communication skills to collaborate with various stakeholders
Good time-management skills
Basic in Design, Computer Science or relevant field
Have skill on creative & motion graphic is a plus value",2025-12-02 03:03:44,Pooled,,
Content Writer Money,"Job Description
Writing news related to economic trends and/or issues.
Developing news angle based on SEO keywords.
Interviewing news sources if necessary.
Coordinating with editor and other editorial team.
Able to do self-editing news to CMS.
Minimum Qualifications
Having 5 years experience as journalist at online media
Collect, analyze, translate economy articles
Familiar with economy issues
Have the ability to work under pressure
Fluently in English, especially in reading and writing",2025-12-08 04:43:46,Pooled,,
Reporter Megapolitan,"Passionate to be a journalist and creative.
Able to write and work on team.
Able to work under tight deadlines.
Candidate must have at least bachelor degree in any major from reputable university, preferably public university.
Having min. 1 year experience as a journalist.
Wiling to be assigned at any area in Jabodetabek.",2025-12-12 09:44:56,Pooled,,
Reporter Nasional,"- berpengalaman liputan lapangan, wawancara dan menulis berita untuk isu politik, hukum, nasional.
- berpengalaman maksimal 2 tahun sebagai reporter media online.
- dapat mengambil foto dan video liputan, serta editing foto/video sederhana.
- latar belakang pendidikan jurnalistik, ilmu komunikasi, atau sastra.",2025-12-16 09:41:53,Pooled,,
Freelance Reporter Olahrga,"Job Description:
Cover and report on various sports events, including matches, tournaments, press conferences, and related activities.
Gather, verify, and analyze information from reliable sources such as athletes, coaches, officials, and stakeholders.
Write accurate, engaging, and timely sports news articles in accordance with journalistic standards and editorial guidelines.
Conduct interviews and produce insightful and relevant content.
Monitor and follow current sports news, trends, and developments at local, national, and international levels.
Coordinate with editors to plan coverage and meet publication deadlines.
Adhere to journalistic ethics and newsroom policies.
Perform field and desk reporting as required.

Qualifications:
Bachelor’s degree in Journalism, Communication, or a related field is preferred.
Strong interest and knowledge in sports.
Excellent writing and storytelling skills in English.
Strong communication and interviewing abilities.
Ability to work under tight deadlines and flexible working hours, including evenings and weekends.
Able to work independently and collaboratively within a team.
Prior experience as a reporter or journalist is a plus.",2025-12-22 03:52:47,Pooled,,
Software Engineer,"Bachelor degree in technical majors is preferred (e.g. Computer Science, Information Technology, Data Science or other related majors.)
Experienced in web development frameworks such as CodeIgniter and Laravel (with additional advantages in Next.js, Vue, and Django).
Passion in software engineering and big data systems
Proficient in PHP, JavaScript, and Python (as an additional skill).
Strong understanding of modular concepts.
Familiarity and have hands-on experience with Cloud Computing, such as AWS/GCP
Skilled in utilizing Docker as a development environment.
Proficient in using version control systems (Git).
Capable of leveraging AI tools to support tasks and develop automation.
Able to work effectively in a team and communicate clearly.",2026-01-08 02:54:50,Pooled,,
